"CodMun";"Municipio";"Extensión superficial (Km2). 2019";"Perímetro (m). 2019";"Altitud sobre el nivel del mar (m). 2019";"Número de núcleos que componen el municipio. 2023";"Distancia a la capital (Km). 2019";"Población total. 2023";"PobHombres23";"PobNucleos23";"PobDiseminados23";"EdadMedia22";"Porcentaje de población menor de 20 años. 2023";"Porcentaje de población mayor de 65 años. 2023";"Variación relativa de la población en diez años (%). 2012-2022";"Número de extranjeros. 2022";"Principal procedencia de los extranjeros residentes. 2022";"Emigraciones. 2022";"Inmigraciones. 2022";"Nacimientos. 2023";"Defunciones. 2023";"Matrimonios. 2023";"Alcaldía. 2023";"Hoteles. 2023";"Hostales y pensiones. 2023";"Plazas en hoteles. 2023";"Plazas en hostales y pensiones. 2023";"Tasa municipal de desempleo (%). 2023";"Renta bruta media. 2022";"Renta disponible media. 2022"
4051;"Huécija";19;24547.46;403;1;27.7;532;258;522;11;47.4;15.6;21.8;-3.1;22;"Marruecos";15;53;4;3;0;"PARTIDO POPULAR";"-";"-";"-";"-";"10.4";"-";"-"
4052;"Huércal de Almería";20.91;22882.12;72;8;6.2;18615;9414;18217;290;36.4;27.2;7.6;12.7;535;"Marruecos";933;1013;147;93;80;"PARTIDO POPULAR";"*";"-";"*";"-";"16.2";"24520";"20342"
4053;"Huércal-Overa";318.04;81326;280;35;98.2;20295;10108;18542;1883;42.1;21.7;18.1;7.5;4251;"Marruecos";1019;1420;161;189;63;"PARTIDO POPULAR";"*";"*";"*";"*";"13.5";"22343";"18765"
4054;"Íllar";19.17;26163.08;423;1;30.8;451;238;422;29;49.1;11.3;25.9;9.6;47;"Reino Unido";34;37;3;7;6;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"18.7";"-";"-"
4055;"Instinción";33.46;40543.8;430;1;32.9;492;254;464;20;47.8;18.7;24.8;-0.6;34;"Marruecos";25;53;3;14;3;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"16.100000000000001";"-";"-"
4903;"La Mojonera";23.85;25927.32;40;5;24.1;8696;4793;7588;1190;36.5;25.4;9.9;1.6;3577;"Marruecos";689;617;114;50;14;"AGRUPACIÓN DE ELECTORES TODOS-TODAS";"-";"-";"-";"-";"10";"15749";"13969"
4056;"Laroya";21.7;21989.78;872;1;70.1;197;111;163;35;46.5;9.1;22.8;17.6;21;"Reino Unido";21;16;3;0;2;"PARTIDO POPULAR";"-";"-";"-";"-";"18.7";"-";"-"
4901;"Las Tres Villas";85.29;51795.42;686;9;54.1;581;317;538;43;52.2;10.8;31.2;-13.8;41;"Marruecos";43;51;3;12;1;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"-";"-";"-";"17.100000000000001";"-";"-"
4057;"Laujar de Andarax";92.74;64252.34;906;1;59.2;1615;812;1512;99;46.4;18;24.1;-8.5;85;"Marruecos";60;95;13;20;4;"PARTIDO POPULAR";"*";"-";"*";"-";"15.1";"16588";"14430"
4058;"Líjar";28.22;25251.72;591;3;70;391;210;349;40;52;10;34;-18.7;28;"Reino Unido";17;21;4;7;0;"PARTIDO POPULAR";"-";"-";"-";"-";"17.5";"-";"-"
4048;"Los Gallardos";34.91;35120.06;116;5;72.3;3034;1522;2126;908;48.7;16;31.5;-21.9;1164;"Reino Unido";222;239;20;36;5;"PARTIDO POPULAR";"-";"-";"-";"-";"11.4";"19648";"16959"
4059;"Lubrín";138.05;53684.52;516;21;68.7;1435;722;1247;175;53;12.3;37.6;-15.7;411;"Reino Unido";116;122;8;26;2;"PARTIDO SOCIALISTA OBRERO ESPAÑOL - ANDALUCÍA";"-";"*";"-";"*";"13.8";"17165";"15252"
4060;"Lucainena de las Torres";123.12;66705.53;549;2;52.5;721;368;548;156;47.5;16.5;22.7;-9.3;110;"Marruecos";39;149;8;8;1;"PARTIDO POPULAR";"*";"*";"*";"*";"16.899999999999999";"-";"-"
4061;"Lúcar";100.58;46567.31;912;4;85.9;832;416;776;53;47.2;15.1;26.2;-9.4;69;"Reino Unido";51;71;1;15;2;"CIUDADANOS-PARTIDO DE LA CIUDADANÍA";"-";"-";"-";"-";"19.899999999999999";"-";"-"
4062;"Macael";43.77;30731.43;538;1;73.5;5435;2765;5329;52;44;18.2;19.8;-9.1;239;"Pakistán";236;241;23;72;17;"PARTIDO POPULAR";"-";"-";"-";"-";"19.100000000000001";"23869";"19820"
