"","CodMun","Municipio"
"773",41087,"Sanlúcar la Mayor"
"774",41089,"Santiponce"
"775",41091,"Sevilla"
"776",41092,"Tocina"
"777",41093,"Tomares"
"778",41094,"Umbrete"
"779",41095,"Utrera"
"780",41096,"Valencina de la Concepción"
"781",41097,"Villamanrique de la Condesa"
"782",41100,"Villanueva de San Juan"
"783",41098,"Villanueva del Ariscal"
"784",41099,"Villanueva del Río y Minas"
"785",41101,"Villaverde del Río"
